GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
cardio_generator,com.cardio_generator.outputs,WebSocketOutputStrategy,59,0,2,0,10,0,3,0,2,0
cardio_generator,com.cardio_generator.outputs,TcpOutputStrategy,79,0,2,0,19,0,4,0,3,0
cardio_generator,com.cardio_generator.outputs,ConsoleOutputStrategy,28,0,0,0,3,0,2,0,2,0
cardio_generator,com.cardio_generator.outputs,WebSocketOutputStrategy.SimpleWebSocketServer,26,0,0,0,11,0,6,0,6,0
cardio_generator,com.cardio_generator.outputs,FileOutputStrategy,101,0,0,0,17,0,3,0,3,0
cardio_generator,com.alerts.strategies,HypoxemiaStrategy,1,123,3,11,1,25,3,7,0,3
cardio_generator,com.alerts.strategies,BloodOxygenStrategy,0,171,1,17,0,38,1,12,0,4
cardio_generator,com.alerts.strategies,BloodPressureStrategy,0,252,4,17,0,44,4,12,0,5
cardio_generator,com.alerts.strategies,ECGStrategy,1,121,2,10,1,26,2,7,0,3
cardio_generator,com.alerts.strategies,TriggeredAlertStrategy,0,38,1,3,0,10,1,3,0,2
cardio_generator,com.cardio_generator.generators,AlertGenerator,74,0,8,0,19,0,7,0,3,0
cardio_generator,com.cardio_generator.generators,BloodPressureDataGenerator,118,0,2,0,25,0,4,0,3,0
cardio_generator,com.cardio_generator.generators,BloodSaturationDataGenerator,72,0,2,0,17,0,4,0,3,0
cardio_generator,com.cardio_generator.generators,ECGDataGenerator,111,0,2,0,21,0,5,0,4,0
cardio_generator,com.cardio_generator.generators,BloodLevelsDataGenerator,129,0,2,0,22,0,4,0,3,0
cardio_generator,com.data_management,DataStorage,64,49,5,3,15,12,5,4,2,3
cardio_generator,com.data_management,PatientRecord,0,27,0,0,0,10,0,5,0,5
cardio_generator,com.data_management,FileDataReader,3,67,1,3,2,19,1,5,0,4
cardio_generator,com.data_management,Patient,0,61,2,4,0,14,2,5,0,4
cardio_generator,com.alerts,Alert,9,12,0,0,3,5,3,1,3,1
cardio_generator,com.alerts,AlertGenerator,73,0,2,0,17,0,4,0,3,0
cardio_generator,com.cardio_generator,HealthDataSimulator,340,0,24,0,83,0,26,0,13,0
